  r          G(r)    dr      dG(r)
  7.110      2.549   0.0     8.5739
  7.120      2.127   0.0     8.6080
  7.130      1.673   0.0     8.6306
  7.140      1.211   0.0     8.6283
  7.150      0.763   0.0     8.6027
  7.160      0.349   0.0     8.5688
  7.170     -0.013   0.0     8.5464
  7.180     -0.309   0.0     8.5483
  7.190     -0.526   0.0     8.5725
  7.200     -0.657   0.0     8.6041
  7.210     -0.696   0.0     8.6241
  7.220     -0.642   0.0     8.6213
  7.230     -0.495   0.0     8.5980
  7.240     -0.258   0.0     8.5691
  7.250      0.066   0.0     8.5523
  7.260      0.471   0.0     8.5577
  7.270      0.954   0.0     8.5818
  7.280      1.509   0.0     8.6094
  7.290      2.129   0.0     8.6237
  7.300      2.807   0.0     8.6160
  7.310      3.533   0.0     8.5912
  7.320      4.292   0.0     8.5643
  7.330      5.065   0.0     8.5518
  7.340      5.828   0.0     8.5613
  7.350      6.552   0.0     8.5868
  7.360      7.205   0.0     8.6127
  7.370      7.752   0.0     8.6233
  7.380      8.161   0.0     8.6120
  7.390      8.401   0.0     8.5854
  7.400      8.452   0.0     8.5593
  7.410      8.302   0.0     8.5493
  7.420      7.953   0.0     8.5614
  7.430      7.423   0.0     8.5883
  7.440      6.741   0.0     8.6143
  7.450      5.949   0.0     8.6244
  7.460      5.097   0.0     8.6134
  7.470      4.240   0.0     8.5884
